Unidade Responsável;UASG;Id do item no PCA;Categoria do Item;Identificador da Futura Contratação;Nome da Futura Contratação;Catálogo Utilizado;Classificação do Catálogo;Código da Classificação Superior (Classe/Grupo);Nome da Classificação Superior (Classe/Grupo);Código do PDM do Item;Nome do PDM do Item;Código do Item;Descrição do Item;Unidade de Fornecimento;Quantidade Estimada;Valor Unitário Estimado (R$);Valor Total Estimado (R$);Valor orçamentário estimado para o exercício (R$);Data Desejada
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;33;Material;158456-9/2025;Aquisição de materiais de construção;Catálogo do Compras.gov.br;Material;5680;MATERIAIS DIVERSOS PARA CONSTRUÇÃO;;;;;-;0,0000;0,0000;200000,0000;0,0000;31/03/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;34;Material;158456-8/2025;Aquisição de estruturas pré-fabricadas para abrigar os veículos oficiais do Campus.;Catálogo do Compras.gov.br;Material;5450;ESTRUTURAS PRÉ-FABRICADAS DIVERSAS;13572;GALPAO PRE - FABRICADO;;;-;0,0000;0,0000;250000,0000;0,0000;31/03/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;35;Material;158456-7/2025;Aquisição de condicionadores de ar;Catálogo do Compras.gov.br;Material;4120;EQUIPAMENTO DE AR CONDICIONADO;13768;APARELHO AR CONDICIONADO;;;-;0,0000;0,0000;240000,0000;0,0000;31/03/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;36;Material;158456-6/2025;AQUISIÇÃO DE MATERIAIS PARA AS AULAS PRÁTICAS PROCESSAMENTO DE PRODUTOS DE ORIGEM ANIMAL.;Catálogo do Compras.gov.br;Material;6640;EQUIPAMENTOS E ARTIGOS DE LABORATÓRIO;;;;;-;0,0000;0,0000;280,0000;0,0000;06/02/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;37;Material;158456-6/2025;AQUISIÇÃO DE MATERIAIS PARA AS AULAS PRÁTICAS PROCESSAMENTO DE PRODUTOS DE ORIGEM ANIMAL.;Catálogo do Compras.gov.br;Material;6640;EQUIPAMENTOS E ARTIGOS DE LABORATÓRIO;;;;;-;0,0000;0,0000;200,0000;0,0000;06/02/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;38;Material;158456-6/2025;AQUISIÇÃO DE MATERIAIS PARA AS AULAS PRÁTICAS PROCESSAMENTO DE PRODUTOS DE ORIGEM ANIMAL.;Catálogo do Compras.gov.br;Material;6640;EQUIPAMENTOS E ARTIGOS DE LABORATÓRIO;;;;;-;0,0000;0,0000;150,0000;0,0000;06/02/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;39;Material;158456-6/2025;AQUISIÇÃO DE MATERIAIS PARA AS AULAS PRÁTICAS PROCESSAMENTO DE PRODUTOS DE ORIGEM ANIMAL.;Catálogo do Compras.gov.br;Material;6640;EQUIPAMENTOS E ARTIGOS DE LABORATÓRIO;;;;;-;0,0000;0,0000;140,0000;0,0000;06/02/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;40;Material;158456-6/2025;AQUISIÇÃO DE MATERIAIS PARA AS AULAS PRÁTICAS PROCESSAMENTO DE PRODUTOS DE ORIGEM ANIMAL.;Catálogo do Compras.gov.br;Material;6640;EQUIPAMENTOS E ARTIGOS DE LABORATÓRIO;17593;ERLENMEYER;409495;MATERIAL: VIDRO, GRADUAÇÃO: GRADUADO, VOLUME: 250, ACESSÓRIOS: COM ROLHA DE VIDRO;UN;15,0000;15,0000;225,0000;0,0000;06/02/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;41;Material;158456-6/2025;AQUISIÇÃO DE MATERIAIS PARA AS AULAS PRÁTICAS PROCESSAMENTO DE PRODUTOS DE ORIGEM ANIMAL.;Catálogo do Compras.gov.br;Material;6640;EQUIPAMENTOS E ARTIGOS DE LABORATÓRIO;17593;ERLENMEYER;419837;MATERIAL: VIDRO, GRADUAÇÃO: GRADUADO, VOLUME: 50, TIPO BOCA: BOCA ESTREITA, ACESSÓRIOS: COM ROLHA DE VIDRO;UN;10,0000;12,0000;120,0000;0,0000;06/02/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;42;Material;158456-6/2025;AQUISIÇÃO DE MATERIAIS PARA AS AULAS PRÁTICAS PROCESSAMENTO DE PRODUTOS DE ORIGEM ANIMAL.;Catálogo do Compras.gov.br;Material;6640;EQUIPAMENTOS E ARTIGOS DE LABORATÓRIO;517;BÉQUER;408270;MATERIAL: VIDRO, GRADUAÇÃO: GRADUADO, CAPACIDADE: 600, FORMATO: FORMA BAIXA, ADICIONAL: COM ORLA E BICO;UN;15,0000;15,0000;225,0000;0,0000;06/02/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;43;Material;158456-6/2025;AQUISIÇÃO DE MATERIAIS PARA AS AULAS PRÁTICAS PROCESSAMENTO DE PRODUTOS DE ORIGEM ANIMAL.;Catálogo do Compras.gov.br;Material;6640;EQUIPAMENTOS E ARTIGOS DE LABORATÓRIO;517;BÉQUER;408277;MATERIAL: VIDRO, GRADUAÇÃO: GRADUADO, CAPACIDADE: 100, FORMATO: FORMA BAIXA, ADICIONAL: COM ORLA E BICO;UN;30,0000;10,0000;300,0000;0,0000;06/02/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;44;Material;158456-6/2025;AQUISIÇÃO DE MATERIAIS PARA AS AULAS PRÁTICAS PROCESSAMENTO DE PRODUTOS DE ORIGEM ANIMAL.;Catálogo do Compras.gov.br;Material;6640;EQUIPAMENTOS E ARTIGOS DE LABORATÓRIO;10757;PIPETADOR;408734;TIPO: AUTOMÁTICO, CAPACIDADE: ATÉ 100, AJUSTE: DIGITAL, COMPONENTES*: COM FILTRO HIDRÓFOBO, BOTÃO DISPENSAÇÃO, COMPONENTES ADICIONAIS: VÁLVULA ANTI REFLUXO, OUTROS COMPONENTES: COM CARREGADOR E SUPORTE, ADICIONAL: AUTOCLAVÁVEL;UN;3,0000;180,0000;540,0000;0,0000;06/02/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;45;Material;158456-6/2025;AQUISIÇÃO DE MATERIAIS PARA AS AULAS PRÁTICAS PROCESSAMENTO DE PRODUTOS DE ORIGEM ANIMAL.;Catálogo do Compras.gov.br;Material;6640;EQUIPAMENTOS E ARTIGOS DE LABORATÓRIO;517;BÉQUER;408259;MATERIAL: VIDRO, GRADUAÇÃO: GRADUADO, CAPACIDADE: 20, FORMATO: FORMA ALTA, ADICIONAL: COM ORLA E BICO;UN;20,0000;5,0000;100,0000;0,0000;06/02/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;46;Material;158456-6/2025;AQUISIÇÃO DE MATERIAIS PARA AS AULAS PRÁTICAS PROCESSAMENTO DE PRODUTOS DE ORIGEM ANIMAL.;Catálogo do Compras.gov.br;Material;6640;EQUIPAMENTOS E ARTIGOS DE LABORATÓRIO;;;;;-;0,0000;0,0000;200,0000;0,0000;06/02/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;47;Material;158456-6/2025;AQUISIÇÃO DE MATERIAIS PARA AS AULAS PRÁTICAS PROCESSAMENTO DE PRODUTOS DE ORIGEM ANIMAL.;Catálogo do Compras.gov.br;Material;6640;EQUIPAMENTOS E ARTIGOS DE LABORATÓRIO;;;;;-;0,0000;0,0000;200,0000;0,0000;06/02/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;48;Material;158456-6/2025;AQUISIÇÃO DE MATERIAIS PARA AS AULAS PRÁTICAS PROCESSAMENTO DE PRODUTOS DE ORIGEM ANIMAL.;Catálogo do Compras.gov.br;Material;6640;EQUIPAMENTOS E ARTIGOS DE LABORATÓRIO;;;;;-;0,0000;0,0000;200,0000;0,0000;06/02/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;49;Material;158456-6/2025;AQUISIÇÃO DE MATERIAIS PARA AS AULAS PRÁTICAS PROCESSAMENTO DE PRODUTOS DE ORIGEM ANIMAL.;Catálogo do Compras.gov.br;Material;6640;EQUIPAMENTOS E ARTIGOS DE LABORATÓRIO;9749;PLACA DE PETRI;433139;MATERIAL: VIDRO, FORMATO: REDONDA, DIMENSÕES: CERCA DE 20 X 150;UN;100,0000;10,0000;1000,0000;0,0000;06/02/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;50;Material;158456-6/2025;AQUISIÇÃO DE MATERIAIS PARA AS AULAS PRÁTICAS PROCESSAMENTO DE PRODUTOS DE ORIGEM ANIMAL.;Catálogo do Compras.gov.br;Material;7310;EQUIPAMENTOS PARA COZINHAR, ASSAR E SERVIR ALIMENTOS;;;;;-;0,0000;0,0000;1400,0000;0,0000;06/02/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;51;Material;158456-6/2025;AQUISIÇÃO DE MATERIAIS PARA AS AULAS PRÁTICAS PROCESSAMENTO DE PRODUTOS DE ORIGEM ANIMAL.;Catálogo do Compras.gov.br;Material;6640;EQUIPAMENTOS E ARTIGOS DE LABORATÓRIO;5368;COLORÍMETRO;477127;TIPO: PORTÁTIL, AJUSTE: COM SAÍDA PARA INTERFACE, MÉTODO: GEOMETRIA D/0°, ADICIONAL: FAIXA ESPECTRAL DE 350 A 750 NM, CARACTERÍSTICAS ADICIONAIS 1: ÁREA DE LEITURA ATÉ 10 MM, COMPONENTES: C/ ADAPTADORES, CALIBRADOR, BATERIA, COMPONENTES ADICIONAIS: MEMÓRIA INTERNA;UN;1,0000;3500,0000;3500,0000;0,0000;06/02/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;52;Material;158456-6/2025;AQUISIÇÃO DE MATERIAIS PARA AS AULAS PRÁTICAS PROCESSAMENTO DE PRODUTOS DE ORIGEM ANIMAL.;Catálogo do Compras.gov.br;Material;3605;MÁQUINAS E EQUIPAMENTOS PARA PRODUTOS ALIMENTÍCIOS;;;;;-;0,0000;0,0000;200,0000;0,0000;06/02/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;53;Material;158456-6/2025;AQUISIÇÃO DE MATERIAIS PARA AS AULAS PRÁTICAS PROCESSAMENTO DE PRODUTOS DE ORIGEM ANIMAL.;Catálogo do Compras.gov.br;Material;6640;EQUIPAMENTOS E ARTIGOS DE LABORATÓRIO;2242;ALÇA BACTERIOLÓGICA;408812;MATERIAL*: PLATINA, COMPONENTES: COM CABO, CALIBRAGEM: CALIBRADA, VOLUME: 1 MCL;UN;6,0000;250,0000;1500,0000;0,0000;06/02/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;54;Material;158456-6/2025;AQUISIÇÃO DE MATERIAIS PARA AS AULAS PRÁTICAS PROCESSAMENTO DE PRODUTOS DE ORIGEM ANIMAL.;Catálogo do Compras.gov.br;Material;3605;MÁQUINAS E EQUIPAMENTOS PARA PRODUTOS ALIMENTÍCIOS;;;;;-;0,0000;0,0000;250,0000;0,0000;06/02/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;55;Material;158456-6/2025;AQUISIÇÃO DE MATERIAIS PARA AS AULAS PRÁTICAS PROCESSAMENTO DE PRODUTOS DE ORIGEM ANIMAL.;Catálogo do Compras.gov.br;Material;6640;EQUIPAMENTOS E ARTIGOS DE LABORATÓRIO;;;;;-;0,0000;0,0000;1600,0000;0,0000;06/02/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;56;Material;158456-6/2025;AQUISIÇÃO DE MATERIAIS PARA AS AULAS PRÁTICAS PROCESSAMENTO DE PRODUTOS DE ORIGEM ANIMAL.;Catálogo do Compras.gov.br;Material;6640;EQUIPAMENTOS E ARTIGOS DE LABORATÓRIO;;;;;-;0,0000;0,0000;2000,0000;0,0000;06/02/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;57;Material;158456-6/2025;AQUISIÇÃO DE MATERIAIS PARA AS AULAS PRÁTICAS PROCESSAMENTO DE PRODUTOS DE ORIGEM ANIMAL.;Catálogo do Compras.gov.br;Material;6640;EQUIPAMENTOS E ARTIGOS DE LABORATÓRIO;8493;CENTRÍFUGA;411626;TIPO: P/ BUTIRÔMETRO, AJUSTE: DIGITAL, MICROPROCESSADA, CAPACIDADE: ATÉ 24 UNIDADES, ROTAÇÃO: ATÉ 1500, TEMPORIZAÇÃO: TEMPORIZADOR ATÉ 15;UN;1,0000;15000,0000;15000,0000;0,0000;06/02/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;58;Material;158456-6/2025;AQUISIÇÃO DE MATERIAIS PARA AS AULAS PRÁTICAS PROCESSAMENTO DE PRODUTOS DE ORIGEM ANIMAL.;Catálogo do Compras.gov.br;Material;6640;EQUIPAMENTOS E ARTIGOS DE LABORATÓRIO;3971;BUTIRÔMETRO;423579;MATERIAL: VIDRO, MODELO: SEGUNDO GERBER, CAPACIDADE: 25, GRADUAÇÃO: GRADUADO, ESCALA: ESCALA ATÉ 8%, COMPONENTES: COM ROLHA E COPO;UN;8,0000;250,0000;2000,0000;0,0000;06/02/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;59;Material;158456-6/2025;AQUISIÇÃO DE MATERIAIS PARA AS AULAS PRÁTICAS PROCESSAMENTO DE PRODUTOS DE ORIGEM ANIMAL.;Catálogo do Compras.gov.br;Material;4110;EQUIPAMENTO PARA REFRIGERAÇÃO;785;REFRIGERADOR DUPLEX;470946;CAPACIDADE REFRIGERAÇÃO: 450, SISTEMA DEGELO: FROST FREE, TENSÃO ALIMENTAÇÃO: 220, CARACTERÍSTICAS ADICIONAIS: ETIQUETA EFICIÊNCIA ENERGÉTICA "A", TIPO: VERTICAL;UN;2,0000;3500,0000;7000,0000;0,0000;06/02/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;60;Material;158456-6/2025;AQUISIÇÃO DE MATERIAIS PARA AS AULAS PRÁTICAS PROCESSAMENTO DE PRODUTOS DE ORIGEM ANIMAL.;Catálogo do Compras.gov.br;Material;3605;MÁQUINAS E EQUIPAMENTOS PARA PRODUTOS ALIMENTÍCIOS;14113;MÁQUINA FATIADORA;230201;MATERIAL: AÇO INOXIDÁVEL, MATERIAL LÂMINA: AÇO ALEMÃO, DIÂMETRO: 370, POTÊNCIA: 5, TIPO MOTOR: MONOFÁSICO, FREQUÊNCIA: 60 CICLOS E 580 GIROS LÂMINA/MINUTO, ALIMENTAÇÃO: 110/220, APLICAÇÃO: PROCESSAMENTO CARNES;UN;1,0000;1500,0000;1500,0000;0,0000;06/02/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;61;Material;158456-6/2025;AQUISIÇÃO DE MATERIAIS PARA AS AULAS PRÁTICAS PROCESSAMENTO DE PRODUTOS DE ORIGEM ANIMAL.;Catálogo do Compras.gov.br;Material;6640;EQUIPAMENTOS E ARTIGOS DE LABORATÓRIO;;;;;-;0,0000;0,0000;12500,0000;0,0000;06/02/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;62;Material;158456-6/2025;AQUISIÇÃO DE MATERIAIS PARA AS AULAS PRÁTICAS PROCESSAMENTO DE PRODUTOS DE ORIGEM ANIMAL.;Catálogo do Compras.gov.br;Material;3730;EQUIPAMENTO DE LATICÍNIOS, AVICULTURA E PECUÁRIA;;;;;-;0,0000;0,0000;32600,0000;0,0000;06/02/2025
